date,weather,average_temperature,average_wind_speed
2014-08-01,☀️,21.4,10.1
2014-08-02,☀️,22.7,16.8
2014-08-03,🌧️,21.8,9.4
2014-08-04,🌤️,19.4,10.7
2014-08-05,🌧️,17.8,5.1
2014-08-06,🌤️,18.5,8.3
2014-08-07,🌤️,18.9,6.6
2014-08-08,🌤️,19.5,7.7
2014-08-09,🌤️,18.7,15.4
2014-08-10,🌤️,19.3,14.8
2014-08-11,🌤️,18.6,16.4
2014-08-12,❄️,16.5,13.0
2014-08-13,🌧️,15.5,9.7
2014-08-14,🌤️,16.8,12.0
2014-08-15,🌤️,16.5,13.6
2014-08-16,❄️,14.8,20.7
2014-08-17,🌧️,14.5,11.8
2014-08-18,❄️,14.1,15.3
2014-08-19,❄️,13.9,22.5
2014-08-20,❄️,14.5,23.1
2014-08-21,❄️,13.6,16.3
2014-08-22,❄️,13.8,11.9
2014-08-23,❄️,13.4,13.3
2014-08-24,❄️,12.6,18.8
2014-08-25,❄️,13.5,18.2
2014-08-26,❄️,14.2,10.8
2014-08-27,❄️,14.7,10.4
2014-08-28,❄️,14.6,8.6
2014-08-29,🌧️,14.8,8.5
2014-08-30,🌧️,15.1,9.4
2014-08-31,🌧️,15.4,15.1
2014-09-01,🌤️,16.2,13.9
2014-09-02,❄️,15.5,5.6
2014-09-03,❄️,14.7,5.8
2014-09-04,❄️,14.3,7.3
2014-09-05,🌧️,14.3,8.3
2014-09-06,🌤️,18.6,12.5
2014-09-07,🌧️,17.4,7.7
2014-09-08,🌧️,13.5,11.5
2014-09-09,🌧️,15.2,21.6
2014-09-10,🌧️,14.7,13.1
2014-09-11,🌧️,15.8,10.2
2014-09-12,🌧️,14.5,6.8
2014-09-13,🌧️,15.7,10.6
2014-09-14,🌧️,16.7,19.6
2014-09-15,🌧️,16.8,20.3
2014-09-16,🌤️,16.2,17.6
2014-09-17,🌧️,15.2,13.9
2014-09-18,🌧️,16.6,14.8
2014-09-19,🌧️,14.9,10.9
2014-09-20,🌧️,13.2,3.5
2014-09-21,❄️,14.3,15.4
2014-09-22,❄️,10.6,19.5
2014-09-23,❄️,10.0,6.5
2014-09-24,🌧️,12.8,9.5
2014-09-25,❄️,12.4,18.2
2014-09-26,🌧️,14.8,16.1
2014-09-27,❄️,13.2,18.3
2014-09-28,❄️,14.2,11.8
2014-09-29,🌧️,15.3,7.5
2014-09-30,❄️,14.1,10.0
